domain,label
185.123.58.63,0
37.113.38.99,0
113.230.25.163,0
60.19.221.149,0
45.82.252.178,0
155.117.155.45,0
20.226.82.46,0
82.157.56.179,0
92.240.63.127,0
178.167.58.231,0
14.52.87.27,0
39.25.137.18,0
195.19.9.239,0
95.139.111.237,0
113.190.22.119,0
222.185.115.165,0
59.7.114.186,0
77.179.104.55,0
91.80.155.30,0
222.137.118.28,0
111.235.66.76,0
182.116.122.158,0
222.141.135.115,0
123.10.156.230,0
120.84.212.183,0
wsefghuiwehf.gxg.xxx,0
182.123.239.252,0
91.92.242.83,0
80.94.92.143,0
130.12.180.64,0
185.247.224.107,0
27.204.192.79,0
130.12.180.126,0
91.92.242.42,0
42.178.83.49,0
09c1d5c3-1a6e-4c05-8e4e-eff75c6b5dd6.usrfiles.com,0
www.backupallfresh2030.com,0
119.109.235.143,0
117.214.81.110,0
115.56.144.111,0
110.37.53.19,0
36.158.74.30,0
115.63.54.143,0
110.37.7.155,0
110.36.14.252,0
115.57.70.30,0
64.89.163.22,0
143.20.185.201,0
123.5.189.74,0
116.138.106.233,0
178.16.52.166,0
176.65.132.44,0
64.89.163.39,0
45.156.87.228,0
202.107.20.250,0
110.36.29.219,0
91.92.242.204,0
110.37.64.254,0
115.50.39.90,0
42.52.201.239,0
115.49.77.69,0
61.52.46.138,0
182.121.231.237,0
112.247.12.53,0
115.57.246.105,0
182.117.117.135,0
174.105.154.212,0
221.15.10.114,0
221.14.106.103,0
219.155.203.153,0
59.97.177.2,0
61.52.43.98,0
117.217.18.162,0
58.255.46.110,0
42.59.247.195,0
27.37.119.9,0
115.50.229.53,0
123.11.70.147,0
130.12.180.128,0
222.140.216.231,0
42.227.6.103,0
60.19.210.228,0
110.37.110.217,0
117.209.2.214,0
42.54.179.143,0
60.19.218.119,0
124.92.74.12,0
58.255.46.0,0
110.37.66.78,0
103.93.177.130,0
42.179.49.19,0
42.55.12.155,0
175.149.208.153,0
117.209.31.168,0
219.155.201.160,0
219.155.226.246,0
117.245.0.215,0
202.107.23.0,0
120.61.202.92,0
182.112.103.247,0
117.196.189.166,0
112.248.80.7,0
42.180.253.238,0
182.126.94.12,0
59.176.16.15,0
117.216.182.113,0
178.141.196.122,0
124.92.142.206,0
123.14.225.132,0
61.3.26.45,0
182.112.222.217,0
222.185.73.248,0
110.37.42.225,0
117.248.24.4,0
112.248.161.111,0
113.230.100.249,0
138.204.196.136,0
61.53.84.251,0
221.0.208.91,0
123.8.13.187,0
27.37.124.13,0
59.177.98.189,0
112.226.38.225,0
106.35.140.111,0
123.188.113.23,0
103.43.8.15,0
110.37.101.252,0
222.140.176.221,0
221.14.106.11,0
117.209.18.41,0
117.223.2.91,0
58.255.46.84,0
42.234.154.162,0
220.201.24.159,0
123.10.156.71,0
123.189.176.173,0
39.74.37.237,0
42.235.181.217,0
125.41.183.34,0
125.44.192.144,0
117.200.235.206,0
42.235.186.107,0
58.255.47.253,0
117.223.1.150,0
59.95.81.18,0
42.231.41.170,0
42.224.208.224,0
123.9.192.177,0
42.58.209.80,0
115.56.146.135,0
110.36.15.190,0
105.101.128.3,0
78.142.18.92,0
61.52.198.217,0
42.53.169.231,0
42.7.201.111,0
123.133.208.204,0
42.236.223.195,0
43.251.226.153,0
85.95.191.148,0
219.130.188.72,0
115.62.185.231,0
60.19.219.195,0
117.209.80.120,0
116.55.93.181,0
42.178.9.8,0
123.10.136.167,0
86.98.58.14,0
125.44.19.118,0
125.41.1.220,0
117.192.120.205,0
168.195.7.106,0
110.37.87.223,0
berichtenbox-nl.net,0
176.65.132.224,0
portal.openchat.world,0
222.137.175.74,0
205.185.127.97,0
59.35.92.124,0
178.16.55.219,0
176.65.148.239,0
178.16.53.46,0
176.65.148.96,0
176.65.148.29,0
59.95.86.13,0
45.153.34.139,0
61.3.102.128,0
42.227.135.149,0
110.37.46.245,0
110.37.68.155,0
125.41.230.120,0
123.14.96.211,0
23.145.4.164,0
118.31.168.221,0
5.230.253.188,0
123.22.183.176,0
171.224.108.25,0
119.15.232.161,0
120.157.41.95,0
123.209.199.249,0
182.52.246.2,0
123.22.236.21,0
171.120.4.177,0
62.151.0.28,0
83.224.169.141,0
175.148.24.150,0
219.157.56.151,0
59.177.97.172,0
123.12.26.202,0
42.5.229.137,0
59.97.253.1,0
42.52.200.185,0
176.226.211.94,0
182.119.185.143,0
180.249.76.33,0
196.189.68.239,0
42.228.124.133,0
108.170.136.155,0
221.1.225.7,0
109.107.181.28,0
27.37.84.37,0
222.137.112.64,0
110.37.40.215,0
112.239.98.100,0
168.195.7.78,0
119.185.191.14,0
115.63.55.73,0
123.5.169.250,0
113.236.113.174,0
113.238.163.116,0
182.119.178.20,0
117.209.3.39,0
182.126.86.123,0
182.127.29.90,0
117.204.166.147,0
115.54.176.101,0
123.11.171.87,0
189.165.240.59,0
78.142.18.90,0
42.4.25.13,0
103.211.218.101,0
182.126.124.28,0
42.177.181.242,0
115.55.51.94,0
219.155.169.129,0
42.85.114.89,0
219.154.173.151,0
39.74.69.189,0
110.37.1.0,0
42.226.216.35,0
175.149.82.130,0
42.59.79.172,0
110.37.67.68,0
58.255.44.230,0
119.117.170.127,0
42.87.169.208,0
59.88.88.238,0
117.200.188.199,0
112.93.201.70,0
117.209.8.59,0
185.155.17.49,0
rabbitsbird.info,0
117.209.95.130,0
115.55.193.216,0
188.114.199.203,0
110.37.118.66,0
113.239.214.103,0
116.138.14.14,0
113.231.226.185,0
42.228.239.190,0
42.59.73.35,0
115.55.244.253,0
117.251.139.116,0
117.209.24.105,0
182.119.63.61,0
176.65.132.183,0
45.94.31.234,0
182.121.113.121,0
123.188.74.122,0
119.187.236.224,0
182.116.8.217,0
117.211.39.202,0
80.27.72.142,0
115.55.62.26,0
219.156.131.213,0
125.46.198.188,0
175.146.102.180,0
110.37.66.116,0
42.224.248.10,0
39.90.145.89,0
119.117.82.48,0
110.37.55.92,0
222.140.182.20,0
60.23.238.95,0
59.97.179.142,0
59.97.182.127,0
222.214.101.182,0
59.92.217.192,0
42.177.221.63,0
182.121.235.5,0
ilovenetssomuch.ddns.net,0
110.38.211.109,0
110.37.76.189,0
92.118.39.151,0
61.52.194.105,0
110.37.61.110,0
110.37.123.210,0
115.48.162.67,0
39.187.126.222,0
110.38.197.49,0
118.113.54.131,0
117.204.167.90,0
110.37.5.55,0
45.153.34.179,0
182.114.202.214,0
113.237.0.100,0
182.121.119.251,0
60.218.192.46,0
60.18.57.123,0
123.188.7.156,0
124.94.170.57,0
222.166.248.15,0
182.116.120.182,0
112.242.219.230,0
151.15.243.227,0
59.97.251.217,0
interdashboard.mom,0
143.20.185.79,0
208.84.101.162,0
109.104.154.249,0
47.245.109.122,0
202.1.31.177,0
209.38.104.63,0
5.175.221.40,0
175.169.97.157,0
193.32.162.76,0
110.37.78.200,0
fastball.in.net,0
27.10.64.72,0
198.144.189.70,0
117.192.123.26,0
42.224.150.213,0
123.12.22.148,0
117.216.55.25,0
115.57.243.187,0
175.148.158.92,0
182.112.30.44,0
59.88.239.2,0
221.15.20.220,0
113.236.139.229,0
182.121.17.173,0
1.181.227.67,0
115.55.252.67,0
5.59.106.115,0
60.22.169.197,0
42.239.189.204,0
115.55.62.52,0
42.224.195.99,0
42.238.66.113,0
117.72.178.246,0
43.139.50.42,0
139.196.41.201,0
59.182.114.82,0
101.168.40.172,0
14.180.217.55,0
14.185.73.157,0
178.50.106.67,0
116.103.167.211,0
124.184.195.152,0
1.170.166.44,0
178.135.60.25,0
36.35.160.239,0
152.173.156.128,0
83.224.144.97,0
121.149.99.231,0
77.181.249.10,0
60.161.46.253,0
117.254.181.53,0
222.137.213.106,0
182.116.116.245,0
117.206.30.138,0
42.5.9.42,0
115.50.213.165,0
117.209.88.211,0
42.4.119.112,0
175.146.205.243,0
27.215.127.2,0
96.66.24.241,0
123.8.26.120,0
59.182.94.125,0
181.103.0.149,0
42.59.225.43,0
125.41.209.50,0
osn.lunxe.live,0
175.150.178.37,0
27.37.113.97,0
175.175.17.222,0
45.117.177.93,0
125.41.3.227,0
182.247.154.220,0
39.74.81.195,0
59.97.252.100,0
61.1.224.25,0
59.97.182.44,0
182.121.175.138,0
117.215.213.131,0
117.209.88.134,0
123.14.245.201,0
59.95.80.159,0
59.88.232.149,0
115.49.240.152,0
125.40.3.63,0
117.205.89.34,0
82.23.183.131,0
219.155.92.198,0
109.60.161.184,0
42.7.131.236,0
119.115.78.38,0
222.141.74.221,0
27.217.209.203,0
123.11.75.46,0
39.74.39.36,0
116.139.201.127,0
176.90.19.201,0
61.53.196.81,0
115.56.146.255,0
130.12.180.132,0
180.249.73.142,0
193.111.248.32,0
42.231.79.78,0
182.120.134.234,0
61.53.89.26,0
202.107.29.187,0
117.221.25.207,0
59.92.169.1,0
117.212.17.38,0
45.171.177.193,0
217.144.184.100,0
175.165.83.61,0
117.215.51.109,0
182.126.103.207,0
59.97.250.217,0
27.202.243.148,0
175.165.87.77,0
42.53.3.233,0
110.36.29.81,0
59.91.130.77,0
123.13.117.154,0
27.37.114.135,0
115.59.8.17,0
106.57.1.231,0
61.52.159.118,0
59.88.234.243,0
45.92.29.74,0
chromium.report.tech.b55081fa-9cd1-48c2-95d4-efe.crashnotify.org,0
222.138.79.193,0
212.50.57.143,0
182.121.106.230,0
42.230.68.72,0
59.88.3.36,0
119.45.160.7,0
221.203.178.203,0
115.51.24.100,0
113.228.157.179,0
27.37.125.198,0
117.231.154.75,0
123.9.196.81,0
46.246.92.170,0
115.50.41.191,0
182.116.55.195,0
123.11.15.183,0
gymnasium.cloudkanahost.biz.id,0
45.83.207.173,0
waatheqinv.com,0
61.19.69.21,0
185.241.208.183,0
author-ride-detected-wholesale.trycloudflare.com,0
222.138.150.107,0
42.232.101.31,0
202.110.16.154,0
219.156.152.21,0
219.156.16.70,0
42.235.82.191,0
27.204.192.28,0
app.quietnetpro.com,0
123.4.45.90,0
178.245.198.62,0
110.37.38.88,0
42.59.89.33,0
60.18.10.132,0
141.196.141.186,0
115.56.157.40,0
219.157.65.142,0
42.232.226.59,0
182.126.88.144,0
42.230.46.107,0
42.225.231.246,0
222.141.46.218,0
85.234.127.43,0
117.199.234.240,0
43.143.210.34,0
1.14.241.63,0
113.250.188.15,0
178.50.234.87,0
41.146.16.246,0
178.236.114.209,0
117.242.232.153,0
91.80.139.55,0
120.157.138.41,0
77.181.228.2,0
91.80.155.127,0
116.110.184.53,0
14.176.82.248,0
179.127.116.214,0
182.116.116.216,0
117.209.31.202,0
182.116.122.125,0
84.240.6.31,0
60.211.99.72,0
5.53.22.223,0
219.156.25.27,0
115.55.241.10,0
182.123.164.63,0
119.114.137.171,0
82.23.183.171,0
78.31.250.12,0
77.110.115.3,0
222.138.215.48,0
219.155.12.15,0
110.37.104.99,0
60.18.11.134,0
143.20.64.84,0
182.112.79.209,0
123.9.105.195,0
115.63.177.152,0
123.12.229.129,0
110.37.105.169,0
221.15.4.146,0
116.53.31.41,0
182.122.232.51,0
42.53.59.160,0
110.37.115.12,0
175.149.116.114,0
42.52.251.158,0
59.42.90.127,0
125.42.118.160,0
113.231.231.205,0
182.122.221.197,0
110.37.52.120,0
150.241.230.84,0
42.178.81.175,0
42.225.243.11,0
helpradardps.shop,0
dps-radar.sbs,0
42.86.118.187,0
co-emas.com,0
help.get-upgrades.com,0
27.37.25.21,0
125.41.225.246,0
110.37.38.190,0
115.48.46.180,0
182.124.165.191,0
123.8.58.143,0
42.55.216.84,0
125.41.137.199,0
42.229.161.184,0
46.200.60.108,0
42.224.57.140,0
60.211.68.247,0
222.137.152.219,0
182.121.72.4,0
27.207.39.112,0
125.41.229.15,0
180.254.187.163,0
23.226.135.117,0
182.121.106.157,0
182.113.217.124,0
61.0.104.232,0
175.168.207.227,0
39.78.16.134,0
42.235.52.55,0
117.215.50.152,0
123.9.241.93,0
182.123.225.139,0
117.209.95.27,0
123.9.22.200,0
113.228.100.40,0
182.119.13.157,0
42.54.100.46,0
110.37.37.105,0
42.59.90.203,0
60.23.235.148,0
42.59.238.172,0
59.96.137.255,0
59.97.250.93,0
115.55.63.147,0
182.60.9.106,0
59.92.188.28,0
182.116.119.74,0
115.48.160.255,0
115.52.28.248,0
112.248.186.48,0
117.199.173.70,0
115.48.145.242,0
88.29.158.172,0
221.15.252.150,0
123.10.133.221,0
120.28.210.97,0
182.119.161.47,0
182.116.14.27,0
182.121.104.59,0
182.124.114.245,0
117.209.15.19,0
115.54.180.47,0
36.64.174.50,0
60.22.160.82,0
216.126.237.216,0
222.137.79.168,0
42.178.236.155,0
120.84.214.39,0
116.138.108.241,0
119.114.152.178,0
222.138.205.42,0
115.58.99.60,0
123.8.5.31,0
34.158.198.175,0
176.90.115.236,0
123.9.192.244,0
188.38.158.163,0
175.165.86.5,0
175.174.75.0,0
115.57.214.105,0
182.112.29.162,0
117.205.173.194,0
61.163.130.252,0
112.225.177.104,0
122.156.143.62,0
27.194.203.96,0
175.167.251.200,0
59.184.251.71,0
117.247.214.29,0
125.43.88.61,0
61.52.71.108,0
125.44.209.231,0
115.56.8.128,0
docsmoonstudioclayworks.site,0
muller.help,0
222.142.199.92,0
61.1.30.46,0
47.86.96.183,0
42.235.69.199,0
47.98.253.102,0
47.109.59.81,0
45.192.97.230,0
139.159.183.246,0
14.56.75.239,0
152.170.234.202,0
116.109.171.2,0
171.226.213.234,0
120.157.200.97,0
120.157.71.21,0
118.33.135.212,0
89.23.205.198,0
113.182.204.67,0
86.98.158.86,0
14.236.242.226,0
103.90.38.99,0
46.124.36.81,0
83.224.151.36,0
83.224.139.126,0
36.49.65.8,0
112.249.176.236,0
58.208.191.240,0
42.55.90.245,0
softwarez.site,0
bub100.s3.cubbit.eu,0
firebasestorage.googleapis.com,0
ia601704.us.archive.org,0
dialkwik.in,0
46.202.208.105,0
42.87.45.161,0
files.catbox.moe,0
91.92.243.254,0
www.mediafire.com,0
192.3.171.243,0
copresco.com,0
pub-37f3a615586d47f4996e932bf6df7670.r2.dev,0
117.220.78.81,0
192.227.135.219,0
125.40.1.108,0
my-jin.s3.cubbit.eu,0
asdetinweb.xyz,0
87.121.84.189,0
45.144.212.54,0
123.8.131.194,0
123.245.108.32,0
176.65.132.121,0
130.12.180.2,0
5.59.248.100,0
dm.pminer.top,0
61.3.134.36,0
110.37.0.37,0
182.114.251.183,0
78.187.17.22,0
113.237.82.155,0
42.226.66.202,0
45.8.118.17,0
62.60.226.159,0
59.93.27.66,0
182.114.194.201,0
115.55.128.85,0
130.12.180.80,0
125.41.213.109,0
220.201.18.90,0
techhkonnectt.top,0
ahnbbd.com,0
web04zoom.im.web04zoom.us,0
frvrefrigeracao.com.br,0
coreylinkservices.com,0
play-apps.cdnreversconnect.world,0
play-apps.mx-maps.digital,0
play-apps.ads-analitics-cdn.digital,0
cold-na-phx-10.gofile.io,0
175.173.121.251,0
45.67.138.196,0
thebrandmantra.in,0
www.longfeng188.com,0
n.vs108.com,0
jlwz.cn,0
genii-purple.s3.us-east-1.amazonaws.com,0
agent188portal.live,0
tykitoks-uzb.sbs,0
inomailerhe.net,0
www.r57shell.net,0
agentportal188.work,0
45.38.42.187,0
agent188menyala.shop,0
51la.zvo2.xyz,0
124.234.128.173,0
110.37.59.132,0
39.68.148.99,0
182.121.69.51,0
117.244.65.36,0
183.23.140.93,0
42.57.200.113,0
125.45.65.67,0
82.221.139.173,0
59.182.66.181,0
151.75.65.240,0
61.52.43.96,0
182.119.121.37,0
222.137.209.129,0
27.215.208.138,0
178.236.70.50,0
123.233.79.165,0
123.4.184.147,0
123.14.176.113,0
219.155.14.150,0
182.126.90.89,0
222.136.137.200,0
91.92.241.237,0
195.178.136.19,0
119.179.251.151,0
221.13.220.235,0
102.212.42.208,0
125.47.72.125,0
193.149.187.81,0
115.63.36.57,0
182.143.113.177,0
219.156.29.28,0
110.37.3.74,0
124.94.0.75,0
110.38.219.155,0
42.226.64.107,0
60.18.105.101,0
182.114.35.219,0
125.44.209.113,0
42.57.44.107,0
125.41.224.172,0
5.143.166.224,0
36.88.136.202,0
123.5.204.94,0
117.209.30.177,0
91.92.241.10,0
222.140.186.81,0
175.173.80.88,0
42.53.170.164,0
42.235.146.214,0
182.124.194.4,0
219.157.14.71,0
119.114.163.119,0
123.8.152.94,0
59.35.92.151,0
115.55.6.78,0
27.220.247.48,0
125.47.86.181,0
182.119.60.139,0
61.53.84.56,0
42.235.51.46,0
42.59.245.7,0
222.139.113.255,0
182.121.44.162,0
196.190.133.180,0
61.53.103.105,0
115.55.245.139,0
182.121.182.95,0
61.52.159.89,0
117.85.190.189,0
110.39.27.117,0
42.179.4.77,0
123.14.74.48,0
125.45.55.151,0
123.132.164.224,0
175.148.132.5,0
125.43.231.156,0
59.93.24.129,0
182.127.31.45,0
219.155.42.199,0
87.121.84.59,0
117.216.0.7,0
42.54.186.80,0
89.125.152.38,0
182.122.172.46,0
117.196.141.107,0
112.248.247.241,0
115.52.26.87,0
115.49.27.240,0
42.238.243.100,0
42.230.219.166,0
221.14.107.51,0
meeller.com,0
cerkery.com,0
176.241.64.23,0
123.4.46.20,0
182.127.46.38,0
110.37.109.50,0
42.6.54.138,0
125.41.229.155,0
43.252.159.78,0
61.53.73.31,0
113.237.61.25,0
85.12.192.249,0
182.122.219.30,0
117.209.93.141,0
222.137.26.84,0
175.165.74.13,0
222.141.183.23,0
113.239.69.238,0
221.15.15.236,0
42.52.5.168,0
42.55.0.9,0
38.76.194.131,0
20.124.236.185,0
101.201.180.191,0
39.105.193.156,0
165.245.143.128,0
120.157.220.162,0
59.182.121.214,0
189.165.98.184,0
95.121.74.229,0
83.224.135.169,0
85.86.179.71,0
83.224.138.10,0
113.22.175.166,0
82.142.100.221,0
38.54.88.228,0
120.28.221.32,0
115.49.45.91,0
5.59.107.59,0
61.52.199.72,0
202.61.139.34,0
aliyundunupdate.xyz,0
222.138.119.213,0
42.242.158.72,0
202.107.97.187,0
115.58.128.162,0
101.127.184.185,0
94.164.44.117,0
115.131.219.91,0
27.202.48.39,0
182.117.148.75,0
94.165.19.116,0
117.206.64.202,0
42.227.237.55,0
186.169.75.2,0
119.185.242.33,0
dhcp-100-248-59-5.metro86.ru,0
43.161.215.22,0
42.86.137.133,0
59.89.8.143,0
www.marketing.bebe9mayotte.com,0
daili.1756520.xyz,0
117.209.16.244,0
216.126.224.83,0
37.60.225.5,0
212.38.88.162,0
60.161.2.132,0
222.134.173.187,0
123.129.134.136,0
123.190.7.149,0
115.58.148.202,0
89.46.38.118,0
5.26.195.93,0
76.72.238.154,0
211.93.86.176,0
113.221.45.234,0
110.38.213.43,0
59.96.143.221,0
124.131.88.83,0
42.87.110.96,0
59.88.38.84,0
105.111.210.91,0
115.63.52.54,0
113.231.217.145,0
42.233.106.113,0
122.237.106.194,0
42.59.226.46,0
59.98.204.42,0
144.172.110.33,0
130.12.180.49,0
91.92.240.251,0
vmi3015523.contaboserver.net,0
cpanel.wpt-l0zf.37-60-225-5.cpanel.site,0
219.156.95.63,0
server7.padyhost.com,0
www.server7.padyhost.com,0
cpcalendars.wpt-l0zf.37-60-225-5.cpanel.site,0
www.wpt-l0zf.37-60-225-5.cpanel.site,0
42.230.215.200,0
ns2.padyhost.com,0
37-60-225-5.cprapid.com,0
webdisk.wpt-l0zf.37-60-225-5.cpanel.site,0
123.8.27.30,0
115.57.194.199,0
119.29.162.146,0
45.150.192.76,0
aggrowtlh.com,0
sifi.co.in,0
115.55.50.158,0
130.12.180.71,0
182.121.104.189,0
124.131.148.100,0
124.162.178.90,0
115.52.241.151,0
222.139.126.177,0
182.117.79.220,0
115.48.143.58,0
221.214.193.245,0
182.117.68.119,0
117.247.150.255,0
182.120.14.34,0
123.10.133.75,0
182.127.177.97,0
39.74.234.25,0
42.227.184.222,0
222.136.150.51,0
42.224.31.236,0
182.112.219.71,0
zyhunkenya.co.ke,0
125.40.147.15,0
115.59.5.246,0
125.40.155.246,0
news4me.xyz,0
123.190.29.147,0
